"","GSM301348","GSM301349","GSM301350","GSM301351","GSM301352","GSM301353","GSM301354","GSM301355","GSM301356","GSM301357","GSM301358","GSM301359","GSM301360","GSM301361","GSM301362","GSM301363","GSM301364","GSM301365","GSM301366","GSM301367","GSM301368","GSM301369","GSM301370","GSM301371","GSM301372","GSM301373","GSM301374","GSM301375","GSM301376","GSM301377","GSM301378","GSM301379","GSM301380","GSM301381","GSM301382","GSM301383","GSM301384","GSM301385","GSM301386","GSM301387","GSM301388","GSM301389","GSM301390","GSM301391","GSM301392","GSM301393","GSM301394","GSM301395"
"1415670_at",11895.2,12898,11911.3,10194.2,11634.3,9322.2,11362.2,9880.3,11402.3,9936.2,8346.8,9777.8,10107.9,6893.2,7986.2,8590.2,8712,9665.2,9078.2,8135.7,9414.7,11632.1,12177.2,11827.4,12872.9,13042.2,11006.8,11218.4,9310.2,10006,8614.1,9586.7,11399.3,10281.4,9697.8,9230.4,11266,9170.1,7142.2,8505.6,8349,8381.1,5824.5,3483,6019.2,6851,6411.8,7820
"1415673_at",3117.3,3732.7,3964.2,3111.2,3379,2959.5,2460.3,3250.3,2853,2272.1,3588.5,2691.6,2488.9,1873.1,1733.9,1710.5,2064.8,1919.4,2168.1,1793.1,2527.7,3249.1,3260.2,3329.6,3644.6,3941.5,3698.8,3136,3021,2845,2720.9,2715.2,2614.7,3513.8,2721.5,2460.8,2291.9,2708.4,2133.3,2196.5,1969.8,2050.5,1803.3,2624.6,2659,3634.8,3423.3,3396.2
"1415678_at",12132.3,12016.1,12976.3,11842.6,11746.3,12261.7,11203.4,9859.5,11791.3,13934.8,13435.6,12962.6,14130.5,15687.7,15616.2,14913.9,16606.3,16124.5,16905,16035.1,16454.2,12693.5,12152.3,13127.1,11024.7,11164.6,12508.1,11732.7,11165,12323.5,10858.3,11635.9,10882.5,12959.4,13220.6,14594.3,13517.8,13816.4,16225,15614.2,14951.8,15965.5,19533.7,18337.7,15438.6,12501.7,12366.2,12498.1
"1415681_at",8878.6,9436.8,8766.3,8393,8589.7,8600.3,8034.7,8860.5,8008,7255.2,7783.8,8970,9068.1,7186.1,7111.9,6934.9,9978.2,10337.4,9848.4,9466.8,9618.7,8086.6,8649.5,8572.4,8221.4,8506.7,6947.5,7510.2,6418.1,7304.9,7203.5,7023.4,8367.1,9409.4,9385.2,8131.9,8480.6,7326.7,7837.7,7663.5,7983.7,7907.4,6879.6,6609.4,7128.7,6090,6268.6,5869.3
"1415683_at",16855.4,16630.5,16138.6,16948.4,18066.2,16682.7,16610.8,16413.1,16910.3,18836.9,18871.5,18321.8,17965.9,15860.1,16355.2,17705,19309.5,19432.6,19584.1,17829.4,17012,17458,15619.9,15211.4,16573,17659.2,15899.7,15486.1,16287.3,14970.3,15372,17179.5,20014.8,20103.1,19308.7,19212.8,20151.9,18083.5,17679.6,16621.2,18110,17412.7,14176.4,12408.5,14062.3,13023.7,14277.4,16087.2
"1415688_at",16261.5,18329.2,17022.5,17688.5,16208.9,16503.4,16527.3,15822.5,14993.4,16242.1,16557.2,18225.6,20485.5,16242.1,17773.7,17181.2,22574.5,22016.3,20313.5,21516.4,19510.6,16441.4,15762.7,15698.3,15003.5,14591.4,14585.7,15495.9,14171.6,15310.2,15490.3,14614.9,15453.1,16343.8,17126.9,19509.9,19201.7,15792.4,18685.7,16596.6,16856.6,16691.4,16267.6,17623.8,14057.3,14794.5,13264.1,14194.7
"1415691_at",3362.2,3102.2,3477.5,3319.6,4108,4047.6,4063.1,3417.2,4372.8,5048.5,4787.8,4063.6,4820.9,4687,5289.3,4807.4,4395.2,4354,4641.7,4047.5,3543,2942.6,2581.2,2905.9,2645.6,2800,2946.8,3080.8,2739.2,2813.6,3167.1,3010.4,3504.7,3665.5,4116.6,5592.8,4896.7,3972.1,4503.5,4665.2,4166.4,4479.9,3559,2305.8,2035.4,2247.4,2333.9,2466.9
"1415704_a_at",23200.9,27189.4,27271,24049.5,23943.9,22282.4,21241.4,21526.1,23542.7,24936.9,19106.9,22624.9,21700.4,23689.4,25733.5,26560.1,24381.3,27126.2,28644.1,23944.6,25511.3,21308.1,22536.6,21265.5,19737.9,16942.8,17347.5,18836.3,13102.4,15464.3,16679.1,14993.5,18724.6,19006.8,16867.5,20861.4,17262.8,16198.2,20594.2,22410.5,21720,23500.8,30646.1,20618.4,21046.6,17614.1,18862.1,17178.7
"1415718_at",4430.9,5524.1,4639.6,4443.3,4436.6,4340.8,4336.2,4560.4,4681,5430.6,4671.7,5437.9,5352.1,5675.8,5292.1,5124.1,6199.5,5732.1,5603.3,6180.9,5429.9,5315.8,4965.1,4581.8,5020.7,4860.3,4344.9,5029.6,3988.4,4596.5,5003.9,5417.6,5254.5,5293.8,6081.1,5902.8,5728.3,5941.3,5883.7,5738.6,6015.3,5644.9,6247.6,7047.6,7065.7,5108.9,5255.8,4295.4
"1415723_at",20305.7,20815.4,22668.8,22339.7,25608.1,27684.3,24474.6,18385.4,32658,39687.4,29319.4,23222.1,25025.6,35484.5,34804,31037.7,27147.3,24171.6,28193.7,22167.8,23358,18589.2,16515.5,20448.3,18799.6,20080.2,20571.9,23258.1,22195.4,19446.5,19302.3,18777.3,21507,22722.1,24039.5,29134.9,28409,26291.5,29463.2,28395.2,26604.2,32090,33997.8,24925.9,21426.7,20039.4,20246.9,18761
"1415727_at",16694.9,17722.3,18235.4,17581.9,15675,15588.6,14344.5,15787.9,14025.3,14040.5,14174.3,16200.3,16261.1,13767,12670.5,11729.8,15283.1,16970.1,15733.4,15855,15037.7,14923.6,16313.1,15760.7,15863.9,15669.6,14142.8,14463,11820,13573.2,14183.2,14137.7,13857.8,15524.1,15532.6,14739.2,14864.7,13403.3,14082.5,14013.4,13415.3,13898.7,11416.4,13899.9,15608.6,12900.5,13202.9,13332.8
"1415728_at",1548.6,882.7,993.6,950.2,992.1,1124.9,1341.8,727.6,1320.6,1610.8,1285.2,624.2,636.6,2229.2,1210.8,895.7,390,654.9,749.3,470.1,316.9,407.3,610.3,531.4,420.4,707.5,341.3,451.7,289.8,296.2,310.2,315.8,359.3,419.4,623.4,642.4,955.8,379.8,520.5,477.8,547.9,576.1,506,244.2,297.3,350,298.3,267.8
